
5,5,5,5,5
3,5/22/2023,3,3,3,3
KKKK,5/3/2023,LAPICES,9.99,30,19.99
 ,5/22/2023, , , , 
 ,5/22/2023, , , , 
 ,5/22/2023, , , , 
12345,5/24/2023,SI,a veces ,no,maybe,
D,5/24/2023,D,d,d,d,
F,5/24/2023,F,5,5,5,
12345,5/24/2023,UWU,20,1,20,
 23770,5/24/2023, TAKUS, 15, 2, 17.5,
 UWUUUUN,5/24/2023, NOPI, 100, 1, 100,
KEILA,5/24/2023,UWU,9,2,10,
UWU,5/24/2023,YO,1,10,2,
1123,5/24/2023,YO,10,10,10,
1111,5/24/2023,YO,11,11,11,
2,5/24/2023,SI,12,12,12,
1,5/24/2023,ADASD,12,12,12,2
1,5/24/2023,123,12,12,12,
12,5/24/2023,12,12,12,12,
12,5/24/2023,12,12,12,12,
12,5/24/2023,12,13,2,14,
HH,5/24/2023,HH,66,66,66,
 UU,5/24/2023, YY, 77, 7, 77,
5,5/24/2023,5,5,55,55,
 555,5/24/2023, 555, 6, 66, 66,
YY,5/24/2023,YY,666,666,666,
 YYY,5/24/2023, YY, 777,777 , 777,
5,5/24/2023,5,55,5,5,
 6,5/24/2023, 6, 6, 6, 6,
1,5/24/2023,1,1,1,1,
1,5/24/2023,1,1,1,1,
 2,5/24/2023, 1, 1, 1, 1,1
 23,5/24/2023, 3, 3, 3, 3,1
1,5/24/2023,1,1,1,1,
 2,5/24/2023, 2, 2, 2, 2,
 3,5/24/2023, 3, 3, 4, 3,
1,5/24/2023,1,1,5,1,
 2,5/24/2023, , 2, 4, 2,
 3,5/24/2023, 3, 3, 4, 3,
1,5/24/2023,1,1,1,1,
 11,5/24/2023, 11, 11, 11, 11,
 111,5/24/2023, 111, 111, 111, 111,
1,5/24/2023,1,11,1,1,
 11,5/24/2023, 1, 1, 11, 1,1
1,5/24/2023,1,1,1,1,
 2,5/24/2023, 2, 2, 2, 2,
 3,5/24/2023, 3, 3, 3, 3,
1,5/24/2023,1,1,1,1,
1,5/24/2023,1,1,1,1,
1,5/25/2023,1,1,1,1,
1,5/25/2023,1,1,2,1,
1,5/25/2023,1,1,1,1,
1,5/25/2023,11,1,1,1,
1,5/25/2023,1,1,1,1,
 2,5/25/2023, 2, 2, 2, 2,
1,5/25/2023,1,1,11,1,
 1,5/25/2023, 1, 1, 1, 1,
 2,5/25/2023, 2, 2, 22, 2,
 3,5/25/2023, 3, 3, 3, 3,
1,5/25/2023,1,1,11,1,
 2,5/25/2023, 2, 2, 2, 2,
 3,5/25/2023, 3, 3, 3, 3,
1,5/25/2023,1,1,1,1,
 2,5/25/2023, 2, 22, 2, 2,
 3,5/25/2023, 3, 3, 3, 3,
1,5/25/2023,11,1,2,1,
2,5/25/2023, 1, 1, 2, 1,
 3,5/25/2023, 1, 1, 5, 1,1
 7,5/25/2023, 1, 1, 2, 1,1
1,5/25/2023,1,1,1,1,
 2,5/25/2023, 2, 2, 2, 2,
 3,5/25/2023, 3, 3, 3, 3,
 4,5/25/2023, 4, 4, 4, 4,
 5,5/25/2023, 5, 5, 5, 5,
1,5/25/2023,1,1,1,1,
 2,5/25/2023, 2, 2, 2, 2,
 3,5/25/2023, 3, 3, 3, 3,
 4,5/25/2023, 44, 4, 4, 4,
 5,5/25/2023, 5, 5, 5, 5,
1,5/25/2023,1,1,1,1,
 2,5/25/2023, 2, 2, 2, 2,
 3,5/25/2023, 3, 3, 3, 3,
1,5/25/2023,1,1,1,1,
2,5/25/2023, 1, 1, 1, 1,1
3,5/25/2023, 1, 1, 1, 1,1
 4,5/25/2023, 2, 2, 2, 2,1
 5,5/25/2023, 5, 5, 55, 5,1
1,5/25/2023,1,1,1,1,
 2,5/25/2023, 2, 2, 2, 2,
 3,5/25/2023, 3, 3, 3, 3,
 4,5/25/2023, 4, 4, 4, 4,
 5,5/25/2023, 5, 5, 5, 5,
